loc,v.g.,ev.g.,iv.G.,N,V,L,D,I,E,B,T,lOCode,lOComment,locCodeAndComment,lOBlank,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,TRUE
2,1,1,1,2,1,0,2,2,1,1,1,1,3,2,2,3,2,2,2,1,TRUE
2,2,1,2,2,1,0,2,2,1,1,1,1,3,2,1,3,2,2,2,2,TRUE
9,8,4,7,9,8,0,3,5,4,8,4,5,5,5,2,7,7,9,9,8,TRUE
2,2,1,2,3,2,0,2,2,1,2,1,2,3,1,2,4,2,3,3,2,TRUE
2,1,1,1,2,1,0,2,2,1,1,1,1,5,2,2,3,2,2,2,1,TRUE
10,10,10,10,10,10,0,4,5,7,10,7,6,3,1,9,10,9,10,10,10,TRUE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,1,2,1,TRUE
2,1,1,1,2,2,0,1,2,1,2,1,1,1,2,1,3,2,2,2,1,TRUE
2,2,1,1,1,1,0,1,1,1,1,1,1,3,3,1,3,1,1,1,2,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,TRUE
2,3,1,1,2,2,0,1,3,1,2,1,1,3,3,1,3,2,2,2,3,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,TRUE
3,2,1,1,2,2,0,2,2,1,2,1,2,4,1,2,3,2,2,2,2,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
2,1,1,1,2,2,0,1,3,1,2,1,1,1,1,1,3,2,2,3,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,TRUE
1,1,1,1,1,1,0,2,1,1,1,1,1,2,2,1,3,1,1,1,1,TRUE
3,2,1,1,2,2,0,2,2,1,2,1,2,4,3,2,4,2,2,2,2,TRUE
1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,3,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,TRUE
2,1,1,1,1,1,0,1,1,1,1,1,1,5,2,2,3,1,1,1,1,TRUE
2,2,2,1,3,2,0,2,2,1,2,1,1,2,2,2,3,2,3,3,3,TRUE
1,1,1,1,2,1,0,1,2,1,1,1,1,2,1,1,2,2,1,2,1,TRUE
3,2,1,2,3,2,0,1,4,1,2,1,2,4,1,2,2,3,3,3,3,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
2,1,1,1,4,3,0,3,2,1,3,1,2,3,1,2,3,2,4,4,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,TRUE
2,1,1,1,2,1,0,2,2,1,1,1,1,2,2,4,3,1,2,2,1,TRUE
2,1,1,1,2,1,0,1,2,1,1,1,1,1,2,1,2,1,1,2,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
3,2,1,2,3,2,0,2,2,1,2,1,2,4,1,3,4,2,3,3,2,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
2,2,1,1,2,2,0,2,2,1,2,1,1,2,1,2,3,2,2,2,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
3,2,1,1,4,3,0,3,2,1,3,1,2,4,1,3,4,2,3,4,2,TRUE
2,2,1,1,2,2,0,2,2,1,2,1,1,1,1,1,3,2,2,2,2,TRUE
2,3,2,1,2,2,0,2,2,1,2,1,2,3,1,2,3,2,2,3,3,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
2,1,1,1,4,3,0,2,3,1,3,1,1,2,1,2,4,3,3,4,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
2,2,1,2,2,2,0,2,2,1,2,1,2,3,1,2,4,2,2,2,2,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,2,1,0,2,1,1,1,1,1,1,1,1,4,1,2,2,2,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
2,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,3,1,1,1,2,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,2,3,1,1,1,2,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
2,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
3,6,2,5,4,4,0,3,3,2,4,2,2,1,1,1,4,3,4,5,7,FALSE
1,6,6,6,2,2,0,2,2,1,2,1,1,1,1,1,2,1,2,2,7,FALSE
1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,1,1,1,2,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,2,1,0,1,2,1,1,1,1,2,1,2,2,2,1,2,1,FALSE
5,3,1,3,4,4,0,3,2,2,4,2,3,10,4,1,5,3,4,4,3,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
2,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,3,1,1,2,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
2,2,1,1,2,1,0,3,1,1,1,1,1,2,1,2,3,1,2,2,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
2,1,1,1,1,1,0,2,1,1,1,1,1,3,1,1,3,1,1,2,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
2,1,1,1,1,1,0,2,1,1,1,1,1,3,1,1,3,1,1,2,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
